================================================================================
P: A football player tackles an member of the opposing team .
H: People playing football .
label=1, predicted=1, correct
f=is_in, v=1, w=0.7654235095820207, v*w=0.7654235095820207
f=Asian_man, v=1, w=0.5093755198017066, v*w=0.5093755198017066
f=The_man, v=1, w=0.29542522325134135, v*w=0.29542522325134135
f=cooking, v=1, w=0.2502700695577387, v*w=0.2502700695577387
f=kitchen, v=1, w=0.24473058170947948, v*w=0.24473058170947948
f=in_a, v=1, w=0.21910880076345068, v*w=0.21910880076345068
f=man_is, v=2, w=0.07446248811904224, v*w=0.14892497623808448
f=food_., v=1, w=0.14869608668916834, v*w=0.14869608668916834
f=An_Asian, v=1, w=0.08351362447628137, v*w=0.08351362447628137
f=is_cooking, v=1, w=0.01317265155805526, v*w=0.01317265155805526
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=length_diff, v=0, w=0.2283268767017618, v*w=0.0
f=a_kitchen, v=1, w=-0.04476833363327806, v*w=-0.04476833363327806
f=kitchen_., v=1, w=-0.057052870869487654, v*w=-0.057052870869487654
f=cooking_food, v=1, w=-0.08222450327156454, v*w=-0.08222450327156454
f=food, v=1, w=-0.11582925962284514, v*w=-0.11582925962284514
f=Asian, v=1, w=-0.1889015894476385, v*w=-0.1889015894476385
f=word_mismatch, v=4, w=-0.04797307969310231, v*w=-0.19189231877240925
f=An, v=1, w=-0.19759144718748645, v*w=-0.19759144718748645
f=man, v=2, w=-0.14954275836407363, v*w=-0.29908551672814726
f=a, v=1, w=-0.40085934414878244, v*w=-0.40085934414878244
f=in, v=1, w=-0.4621736065762428, v*w=-0.4621736065762428
f=The, v=1, w=-0.5582273554905617, v*w=-0.5582273554905617
f=is, v=2, w=-0.45493996500424116, v*w=-0.9098799300084823
================================================================================
P: Two young women are crossing a street just after a yellow school bus has passed by .
H: Two women coming home after school .
label=0, predicted=0, correct
f=length_diff, v=10, w=0.2283268767017618, v*w=2.283268767017618
f=lexical_overlap, v=5, w=0.3830654707424352, v*w=1.915327353712176
f=has, v=1, w=0.33871445038896386, v*w=0.33871445038896386
f=are_crossing, v=1, w=0.27368671337073613, v*w=0.27368671337073613
f=women_are, v=1, w=0.19536332170017415, v*w=0.19536332170017415
f=a_yellow, v=1, w=0.1827294595388627, v*w=0.1827294595388627
f=crossing, v=1, w=0.11669476003144696, v*w=0.11669476003144696
f=passed, v=1, w=0.07932396556288708, v*w=0.07932396556288708
f=yellow, v=1, w=0.06432636174453178, v*w=0.06432636174453178
f=crossing_a, v=1, w=0.062264933700385626, v*w=0.062264933700385626
f=young_women, v=1, w=0.023764075103954264, v*w=0.023764075103954264
f=school_., v=1, w=0.023390629038337836, v*w=0.023390629038337836
f=by_., v=1, w=0.004108664651063981, v*w=0.004108664651063981
f=street_just, v=1, w=0, v*w=0
f=just_after, v=1, w=0, v*w=0
f=yellow_school, v=1, w=0, v*w=0
f=bus_has, v=1, w=0, v*w=0
f=has_passed, v=1, w=0, v*w=0
f=passed_by, v=1, w=0, v*w=0
f=women_coming, v=1, w=0, v*w=0
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=a_street, v=1, w=-0.009333573088185226, v*w=-0.009333573088185226
f=by, v=1, w=-0.03680490819868031, v*w=-0.03680490819868031
f=after_school, v=1, w=-0.05512255854610578, v*w=-0.05512255854610578
f=coming, v=1, w=-0.06099339486293097, v*w=-0.06099339486293097
f=Two_young, v=1, w=-0.07088936560814905, v*w=-0.07088936560814905
f=coming_home, v=1, w=-0.08163187869450832, v*w=-0.08163187869450832
f=school_bus, v=1, w=-0.09355711272386025, v*w=-0.09355711272386025
f=home_after, v=1, w=-0.09460043051971362, v*w=-0.09460043051971362
f=after_a, v=1, w=-0.10215483914719849, v*w=-0.10215483914719849
f=women, v=2, w=-0.06125169166873571, v*w=-0.12250338333747142
f=Two_women, v=1, w=-0.13873290153059487, v*w=-0.13873290153059487
f=street, v=1, w=-0.1740767558473877, v*w=-0.1740767558473877
f=bus, v=1, w=-0.18598650303899097, v*w=-0.18598650303899097
f=Two, v=2, w=-0.14272615647644044, v*w=-0.28545231295288087
f=young, v=1, w=-0.43314418331457044, v*w=-0.43314418331457044
f=school, v=2, w=-0.2504894545789477, v*w=-0.5009789091578954
f=word_mismatch, v=11, w=-0.04797307969310231, v*w=-0.5277038766241254
f=home, v=1, w=-0.6423366799139377, v*w=-0.6423366799139377
f=are, v=1, w=-0.6460762017236287, v*w=-0.6460762017236287
f=a, v=2, w=-0.40085934414878244, v*w=-0.8017186882975649
f=just, v=1, w=-0.8976251071421758, v*w=-0.8976251071421758
f=after, v=2, w=-0.4842803611343665, v*w=-0.968560722268733
================================================================================
P: Two grownups are waiting for the bus to arrive on a cold day .
H: They are waiting for the bus to pick them up .
label=1, predicted=0, wrong
f=lexical_overlap, v=7, w=0.3830654707424352, v*w=2.6814582951970465
f=length_diff, v=3, w=0.2283268767017618, v*w=0.6849806301052854
f=for_the, v=2, w=0.2735711016932222, v*w=0.5471422033864444
f=on_a, v=1, w=0.1768242450195646, v*w=0.1768242450195646
f=day_., v=1, w=0.13413534847526642, v*w=0.13413534847526642
f=up_., v=1, w=0.040613641264625924, v*w=0.040613641264625924
f=cold, v=1, w=0.008166934866221436, v*w=0.008166934866221436
f=waiting_for, v=2, w=0.0028918274235973517, v*w=0.005783654847194703
f=to_pick, v=1, w=0.0013855521825086436, v*w=0.0013855521825086436
f=Two_grownups, v=1, w=0, v*w=0
f=arrive_on, v=1, w=0, v*w=0
f=pick_them, v=1, w=0, v*w=0
f=them_up, v=1, w=0, v*w=0
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=cold_day, v=1, w=-0.008969528827433192, v*w=-0.008969528827433192
f=up, v=1, w=-0.011231190525961677, v*w=-0.011231190525961677
f=the_bus, v=2, w=-0.006801937380483371, v*w=-0.013603874760966741
f=a_cold, v=1, w=-0.02186814370775507, v*w=-0.02186814370775507
f=bus_to, v=2, w=-0.026229845778351753, v*w=-0.052459691556703505
f=arrive, v=1, w=-0.0748132871100559, v*w=-0.0748132871100559
f=to_arrive, v=1, w=-0.0748132871100559, v*w=-0.0748132871100559
f=grownups, v=1, w=-0.09633913369702374, v*w=-0.09633913369702374
f=grownups_are, v=1, w=-0.09633913369702374, v*w=-0.09633913369702374
f=pick, v=1, w=-0.10353923460976915, v*w=-0.10353923460976915
f=Two, v=1, w=-0.14272615647644044, v*w=-0.14272615647644044
f=on, v=1, w=-0.29811008903331604, v*w=-0.29811008903331604
f=word_mismatch, v=7, w=-0.04797307969310231, v*w=-0.3358115578517162
f=bus, v=2, w=-0.18598650303899097, v*w=-0.37197300607798195
f=a, v=1, w=-0.40085934414878244, v*w=-0.40085934414878244
f=day, v=1, w=-0.44722266953277673, v*w=-0.44722266953277673
f=them, v=1, w=-0.511689073748005, v*w=-0.511689073748005
f=They_are, v=1, w=-0.6523666187763414, v*w=-0.6523666187763414
f=are_waiting, v=2, w=-0.33147027877648444, v*w=-0.6629405575529689
f=They, v=1, w=-0.6951520811113333, v*w=-0.6951520811113333
f=waiting, v=2, w=-0.39009831674771484, v*w=-0.7801966334954297
f=the, v=2, w=-0.5978066899968455, v*w=-1.195613379993691
f=are, v=2, w=-0.6460762017236287, v*w=-1.2921524034472573
f=to, v=2, w=-0.8016492569411924, v*w=-1.6032985138823848
f=for, v=2, w=-0.9938963055631672, v*w=-1.9877926111263344
================================================================================
P: The lady in the red jacket is helping the other lady decide what to buy .
H: The 2 ladies are related .
label=0, predicted=0, correct
f=length_diff, v=10, w=0.2283268767017618, v*w=2.283268767017618
f=lexical_overlap, v=2, w=0.3830654707424352, v*w=0.7661309414848704
f=the_other, v=1, w=0.13073472509759124, v*w=0.13073472509759124
f=buy_., v=1, w=0.12857179833717275, v*w=0.12857179833717275
f=helping_the, v=1, w=0.06932188912629923, v*w=0.06932188912629923
f=to_buy, v=1, w=0.058141163767621004, v*w=0.058141163767621004
f=The_2, v=1, w=0.036701042493884936, v*w=0.036701042493884936
f=The_lady, v=1, w=0.028094363561417254, v*w=0.028094363561417254
f=red_jacket, v=1, w=0.0221354392100968, v*w=0.0221354392100968
f=lady_in, v=1, w=0.01336488382881519, v*w=0.01336488382881519
f=buy, v=1, w=0.005939772416792608, v*w=0.005939772416792608
f=the_red, v=1, w=0.004312141381312988, v*w=0.004312141381312988
f=lady_decide, v=1, w=0, v*w=0
f=2_ladies, v=1, w=0, v*w=0
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=in_the, v=1, w=-0.011687244813448, v*w=-0.011687244813448
f=is_helping, v=1, w=-0.01610066218032213, v*w=-0.01610066218032213
f=other_lady, v=1, w=-0.018852429399995478, v*w=-0.018852429399995478
f=what_to, v=1, w=-0.022582462929240207, v*w=-0.022582462929240207
f=related_., v=1, w=-0.023575897633706728, v*w=-0.023575897633706728
f=ladies_are, v=1, w=-0.02388430752038519, v*w=-0.02388430752038519
f=related, v=1, w=-0.029357324191844697, v*w=-0.029357324191844697
f=are_related, v=1, w=-0.04391702066896118, v*w=-0.04391702066896118
f=decide, v=1, w=-0.08264253574982498, v*w=-0.08264253574982498
f=decide_what, v=1, w=-0.08264253574982498, v*w=-0.08264253574982498
f=helping, v=1, w=-0.11345422485678254, v*w=-0.11345422485678254
f=ladies, v=1, w=-0.13704343622764664, v*w=-0.13704343622764664
f=jacket, v=1, w=-0.14112770013561202, v*w=-0.14112770013561202
f=2, v=1, w=-0.1761010363919282, v*w=-0.1761010363919282
f=red, v=1, w=-0.18428774132984588, v*w=-0.18428774132984588
f=other, v=1, w=-0.2103417813780885, v*w=-0.2103417813780885
f=lady, v=2, w=-0.13726793412950955, v*w=-0.2745358682590191
f=jacket_is, v=1, w=-0.2933177174649296, v*w=-0.2933177174649296
f=what, v=1, w=-0.3171552479124157, v*w=-0.3171552479124157
f=is, v=1, w=-0.45493996500424116, v*w=-0.45493996500424116
f=in, v=1, w=-0.4621736065762428, v*w=-0.4621736065762428
f=word_mismatch, v=12, w=-0.04797307969310231, v*w=-0.5756769563172277
f=are, v=1, w=-0.6460762017236287, v*w=-0.6460762017236287
f=to, v=1, w=-0.8016492569411924, v*w=-0.8016492569411924
f=The, v=2, w=-0.5582273554905617, v*w=-1.1164547109811234
f=the, v=2, w=-0.5978066899968455, v*w=-1.195613379993691
================================================================================
P: A person is surfing on a large wave .
H: The person is in a surfing competition .
label=0, predicted=0, correct
f=lexical_overlap, v=5, w=0.3830654707424352, v*w=1.915327353712176
f=is_in, v=1, w=0.7654235095820207, v*w=0.7654235095820207
f=person_is, v=2, w=0.27673651839121427, v*w=0.5534730367824285
f=person, v=2, w=0.26421986580315804, v*w=0.5284397316063161
f=A_person, v=1, w=0.2984734473390282, v*w=0.2984734473390282
f=length_diff, v=1, w=0.2283268767017618, v*w=0.2283268767017618
f=in_a, v=1, w=0.21910880076345068, v*w=0.21910880076345068
f=on_a, v=1, w=0.1768242450195646, v*w=0.1768242450195646
f=is_surfing, v=1, w=0.13122111168970668, v*w=0.13122111168970668
f=surfing_on, v=1, w=0.055467505461340806, v*w=0.055467505461340806
f=wave_., v=1, w=0.0039247503447642305, v*w=0.0039247503447642305
f=a_surfing, v=1, w=0, v*w=0
f=surfing_competition, v=1, w=0, v*w=0
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=The_person, v=1, w=-0.11726261817652171, v*w=-0.11726261817652171
f=large_wave, v=1, w=-0.12639199279932142, v*w=-0.12639199279932142
f=wave, v=1, w=-0.13117884244937053, v*w=-0.13117884244937053
f=word_mismatch, v=4, w=-0.04797307969310231, v*w=-0.19189231877240925
f=large, v=1, w=-0.2063833258374724, v*w=-0.2063833258374724
f=competition, v=1, w=-0.21721806820288223, v*w=-0.21721806820288223
f=surfing, v=2, w=-0.12557992553807598, v*w=-0.25115985107615196
f=a_large, v=1, w=-0.2749104951263718, v*w=-0.2749104951263718
f=on, v=1, w=-0.29811008903331604, v*w=-0.29811008903331604
f=A, v=1, w=-0.3083650202568235, v*w=-0.3083650202568235
f=competition_., v=1, w=-0.3223708582226485, v*w=-0.3223708582226485
f=in, v=1, w=-0.4621736065762428, v*w=-0.4621736065762428
f=The, v=1, w=-0.5582273554905617, v*w=-0.5582273554905617
f=a, v=2, w=-0.40085934414878244, v*w=-0.8017186882975649
f=is, v=2, w=-0.45493996500424116, v*w=-0.9098799300084823
================================================================================
P: A girl in a field with a yellow scarf .
H: The girl is outdoors .
label=1, predicted=1, correct
f=length_diff, v=5, w=0.2283268767017618, v*w=1.141634383508809
f=outdoors, v=1, w=0.8960249511951534, v*w=0.8960249511951534
f=lexical_overlap, v=2, w=0.3830654707424352, v*w=0.7661309414848704
f=is_outdoors, v=1, w=0.4939603342151489, v*w=0.4939603342151489
f=outdoors_., v=1, w=0.39519381145465254, v*w=0.39519381145465254
f=with_a, v=1, w=0.2523841160226351, v*w=0.2523841160226351
f=in_a, v=1, w=0.21910880076345068, v*w=0.21910880076345068
f=a_yellow, v=1, w=0.1827294595388627, v*w=0.1827294595388627
f=girl, v=2, w=0.08134442495824248, v*w=0.16268884991648497
f=A_girl, v=1, w=0.07128148794181374, v*w=0.07128148794181374
f=yellow, v=1, w=0.06432636174453178, v*w=0.06432636174453178
f=scarf, v=1, w=0.04190499156256808, v*w=0.04190499156256808
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=a_field, v=1, w=-0.008137359310401698, v*w=-0.008137359310401698
f=yellow_scarf, v=1, w=-0.012168820081658316, v*w=-0.012168820081658316
f=The_girl, v=1, w=-0.0533152888252046, v*w=-0.0533152888252046
f=girl_in, v=1, w=-0.08251847354139932, v*w=-0.08251847354139932
f=field_with, v=1, w=-0.08786583389762073, v*w=-0.08786583389762073
f=girl_is, v=1, w=-0.11835442848624729, v*w=-0.11835442848624729
f=scarf_., v=1, w=-0.18322101398862908, v*w=-0.18322101398862908
f=field, v=1, w=-0.2017667971284122, v*w=-0.2017667971284122
f=A, v=1, w=-0.3083650202568235, v*w=-0.3083650202568235
f=word_mismatch, v=7, w=-0.04797307969310231, v*w=-0.3358115578517162
f=with, v=1, w=-0.37578220266504436, v*w=-0.37578220266504436
f=is, v=1, w=-0.45493996500424116, v*w=-0.45493996500424116
f=in, v=1, w=-0.4621736065762428, v*w=-0.4621736065762428
f=The, v=1, w=-0.5582273554905617, v*w=-0.5582273554905617
f=a, v=2, w=-0.40085934414878244, v*w=-0.8017186882975649
================================================================================
P: Two young girls dressed in pink reach into wishing fountain at mall .
H: Girls try to get back the money they threw into the fountain .
label=0, predicted=0, correct
f=lexical_overlap, v=3, w=0.3830654707424352, v*w=1.1491964122273055
f=try_to, v=1, w=0.36644500920394724, v*w=0.36644500920394724
f=try, v=1, w=0.30709160274554625, v*w=0.30709160274554625
f=dressed_in, v=1, w=0.28292254173474607, v*w=0.28292254173474607
f=girls_dressed, v=1, w=0.2652994530109111, v*w=0.2652994530109111
f=fountain, v=2, w=0.0861786386969737, v*w=0.1723572773939474
f=in_pink, v=1, w=0.08684584306946413, v*w=0.08684584306946413
f=into_the, v=1, w=0.08155503566007853, v*w=0.08155503566007853
f=fountain_., v=1, w=0.07990681468770593, v*w=0.07990681468770593
f=to_get, v=1, w=0.06495907060485302, v*w=0.06495907060485302
f=back, v=1, w=0.06468832659514244, v*w=0.06468832659514244
f=Girls, v=1, w=0.03335292277390811, v*w=0.03335292277390811
f=get, v=1, w=0.025729580390672174, v*w=0.025729580390672174
f=wishing, v=1, w=0, v*w=0
f=pink_reach, v=1, w=0, v*w=0
f=reach_into, v=1, w=0, v*w=0
f=into_wishing, v=1, w=0, v*w=0
f=wishing_fountain, v=1, w=0, v*w=0
f=at_mall, v=1, w=0, v*w=0
f=Girls_try, v=1, w=0, v*w=0
f=get_back, v=1, w=0, v*w=0
f=back_the, v=1, w=0, v*w=0
f=the_money, v=1, w=0, v*w=0
f=money_they, v=1, w=0, v*w=0
f=they_threw, v=1, w=0, v*w=0
f=threw_into, v=1, w=0, v*w=0
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=length_diff, v=0, w=0.2283268767017618, v*w=0.0
f=girls, v=1, w=-0.002851093110171653, v*w=-0.002851093110171653
f=the_fountain, v=1, w=-0.013157392497400167, v*w=-0.013157392497400167
f=fountain_at, v=1, w=-0.021722255624033175, v*w=-0.021722255624033175
f=dressed, v=1, w=-0.029188134634767236, v*w=-0.029188134634767236
f=Two_young, v=1, w=-0.07088936560814905, v*w=-0.07088936560814905
f=reach, v=1, w=-0.08329510493456369, v*w=-0.08329510493456369
f=threw, v=1, w=-0.1138633567692404, v*w=-0.1138633567692404
f=mall_., v=1, w=-0.11466030411611637, v*w=-0.11466030411611637
f=mall, v=1, w=-0.1398126412191485, v*w=-0.1398126412191485
f=money, v=1, w=-0.1427254041971144, v*w=-0.1427254041971144
f=Two, v=1, w=-0.14272615647644044, v*w=-0.14272615647644044
f=pink, v=1, w=-0.1590852931955731, v*w=-0.1590852931955731
f=at, v=1, w=-0.26136614004677544, v*w=-0.26136614004677544
f=young_girls, v=1, w=-0.2799093554334373, v*w=-0.2799093554334373
f=young, v=1, w=-0.43314418331457044, v*w=-0.43314418331457044
f=in, v=1, w=-0.4621736065762428, v*w=-0.4621736065762428
f=word_mismatch, v=10, w=-0.04797307969310231, v*w=-0.47973079693102316
f=they, v=1, w=-0.6316209374182085, v*w=-0.6316209374182085
f=into, v=2, w=-0.320186552836101, v*w=-0.640373105672202
f=to, v=1, w=-0.8016492569411924, v*w=-0.8016492569411924
f=the, v=2, w=-0.5978066899968455, v*w=-1.195613379993691
================================================================================
P: 3 people walking through a small field .
H: Three people in a medow of flowers .
label=0, predicted=0, correct
f=lexical_overlap, v=3, w=0.3830654707424352, v*w=1.1491964122273055
f=in_a, v=1, w=0.21910880076345068, v*w=0.21910880076345068
f=Three_people, v=1, w=0.18982853950233117, v*w=0.18982853950233117
f=3_people, v=1, w=0.052115927726439595, v*w=0.052115927726439595
f=a_small, v=1, w=0.030803488724732625, v*w=0.030803488724732625
f=small_field, v=1, w=0.004216861663000415, v*w=0.004216861663000415
f=medow, v=1, w=0, v*w=0
f=a_medow, v=1, w=0, v*w=0
f=medow_of, v=1, w=0, v*w=0
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=length_diff, v=0, w=0.2283268767017618, v*w=0.0
f=flowers_., v=1, w=-0.004583900099777743, v*w=-0.004583900099777743
f=field_., v=1, w=-0.009294320944133171, v*w=-0.009294320944133171
f=through_a, v=1, w=-0.013576926960095458, v*w=-0.013576926960095458
f=walking, v=1, w=-0.03633671982483617, v*w=-0.03633671982483617
f=people, v=2, w=-0.027486497905934534, v*w=-0.05497299581186907
f=walking_through, v=1, w=-0.11976511915774872, v*w=-0.11976511915774872
f=Three, v=1, w=-0.12001253629634999, v*w=-0.12001253629634999
f=of_flowers, v=1, w=-0.14236808952951674, v*w=-0.14236808952951674
f=people_in, v=1, w=-0.14488480125069056, v*w=-0.14488480125069056
f=3, v=1, w=-0.1589545165163882, v*w=-0.1589545165163882
f=through, v=1, w=-0.1920874269781754, v*w=-0.1920874269781754
f=field, v=1, w=-0.2017667971284122, v*w=-0.2017667971284122
f=flowers, v=1, w=-0.21175656462287243, v*w=-0.21175656462287243
f=word_mismatch, v=5, w=-0.04797307969310231, v*w=-0.23986539846551158
f=people_walking, v=1, w=-0.34109922218131355, v*w=-0.34109922218131355
f=of, v=1, w=-0.37790219820508486, v*w=-0.37790219820508486
f=small, v=1, w=-0.43774700994112864, v*w=-0.43774700994112864
f=in, v=1, w=-0.4621736065762428, v*w=-0.4621736065762428
f=a, v=2, w=-0.40085934414878244, v*w=-0.8017186882975649
================================================================================
P: Dozens of street performers in fuchsia , red , yellow and black outfits are dancing and singing along a city street .
H: Many performers in colorful costumes were entertaining in the streets .
label=1, predicted=0, wrong
f=length_diff, v=11, w=0.2283268767017618, v*w=2.51159564371938
f=lexical_overlap, v=3, w=0.3830654707424352, v*w=1.1491964122273055
f=and_black, v=1, w=0.24201273250867164, v*w=0.24201273250867164
f=outfits, v=1, w=0.2265492664109656, v*w=0.2265492664109656
f=yellow_and, v=1, w=0.205115533563729, v*w=0.205115533563729
f=colorful, v=1, w=0.1755392399765375, v*w=0.1755392399765375
f=are_dancing, v=1, w=0.09129893883300406, v*w=0.09129893883300406
f=,_yellow, v=1, w=0.08847883421282067, v*w=0.08847883421282067
f=street_., v=1, w=0.08444538788523681, v*w=0.08444538788523681
f=a_city, v=1, w=0.0819604189948152, v*w=0.0819604189948152
f=yellow, v=1, w=0.06432636174453178, v*w=0.06432636174453178
f=in_colorful, v=1, w=0.048096363753439474, v*w=0.048096363753439474
f=dancing_and, v=1, w=0.03296660697949813, v*w=0.03296660697949813
f=singing_along, v=1, w=0.03214149813330699, v*w=0.03214149813330699
f=colorful_costumes, v=1, w=0.01593374173769818, v*w=0.01593374173769818
f=city_street, v=1, w=0.01398206943039599, v*w=0.01398206943039599
f=streets_., v=1, w=0.0012661117907368704, v*w=0.0012661117907368704
f=Dozens, v=1, w=0, v*w=0
f=fuchsia, v=1, w=0, v*w=0
f=Dozens_of, v=1, w=0, v*w=0
f=performers_in, v=2, w=0, v*w=0
f=in_fuchsia, v=1, w=0, v*w=0
f=fuchsia_,, v=1, w=0, v*w=0
f=black_outfits, v=1, w=0, v*w=0
f=Many_performers, v=1, w=0, v*w=0
f=costumes_were, v=1, w=0, v*w=0
f=were_entertaining, v=1, w=0, v*w=0
f=entertaining_in, v=1, w=0, v*w=0
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=and_singing, v=1, w=-0.004156054101316184, v*w=-0.004156054101316184
f=in_the, v=1, w=-0.011687244813448, v*w=-0.011687244813448
f=outfits_are, v=1, w=-0.012095969446253112, v*w=-0.012095969446253112
f=singing, v=1, w=-0.015399090400284773, v*w=-0.015399090400284773
f=costumes, v=1, w=-0.04054951458723458, v*w=-0.04054951458723458
f=Many, v=1, w=-0.04229822660530706, v*w=-0.04229822660530706
f=of_street, v=1, w=-0.05062286781201895, v*w=-0.05062286781201895
f=the_streets, v=1, w=-0.05394429100025328, v*w=-0.05394429100025328
f=dancing, v=1, w=-0.05765511677168046, v*w=-0.05765511677168046
f=streets, v=1, w=-0.07135551862574147, v*w=-0.07135551862574147
f=along, v=1, w=-0.0760826678880284, v*w=-0.0760826678880284
f=black, v=1, w=-0.0813984155623056, v*w=-0.0813984155623056
f=along_a, v=1, w=-0.08735865032414636, v*w=-0.08735865032414636
f=entertaining, v=1, w=-0.08880646164315929, v*w=-0.08880646164315929
f=street_performers, v=1, w=-0.13720154190358158, v*w=-0.13720154190358158
f=city, v=1, w=-0.14839606709048278, v*w=-0.14839606709048278
f=red, v=1, w=-0.18428774132984588, v*w=-0.18428774132984588
f=,_red, v=1, w=-0.19605828989318058, v*w=-0.19605828989318058
f=red_,, v=1, w=-0.2626441222886271, v*w=-0.2626441222886271
f=were, v=1, w=-0.26398209381216153, v*w=-0.26398209381216153
f=performers, v=2, w=-0.15683570381925463, v*w=-0.31367140763850926
f=street, v=2, w=-0.1740767558473877, v*w=-0.3481535116947754
f=of, v=1, w=-0.37790219820508486, v*w=-0.37790219820508486
f=a, v=1, w=-0.40085934414878244, v*w=-0.40085934414878244
f=the, v=1, w=-0.5978066899968455, v*w=-0.5978066899968455
f=are, v=1, w=-0.6460762017236287, v*w=-0.6460762017236287
f=word_mismatch, v=16, w=-0.04797307969310231, v*w=-0.767569275089637
f=and, v=2, w=-0.39896675096440504, v*w=-0.7979335019288101
f=in, v=3, w=-0.4621736065762428, v*w=-1.3865208197287284
================================================================================
P: A bride wearing her bridal gown is taking pictures with her colorful wedding bouquet in front of cows .
H: A bride is taking pictures at a barn .
label=1, predicted=0, wrong
f=lexical_overlap, v=6, w=0.3830654707424352, v*w=2.298392824454611
f=length_diff, v=10, w=0.2283268767017618, v*w=2.283268767017618
f=front_of, v=1, w=0.26027869344495036, v*w=0.26027869344495036
f=wedding, v=1, w=0.20834537481395582, v*w=0.20834537481395582
f=in_front, v=1, w=0.2025982840106905, v*w=0.2025982840106905
f=colorful, v=1, w=0.1755392399765375, v*w=0.1755392399765375
f=bride, v=2, w=0.08666049959391944, v*w=0.1733209991878389
f=bouquet, v=1, w=0.14857139748769232, v*w=0.14857139748769232
f=cows_., v=1, w=0.09900567252761737, v*w=0.09900567252761737
f=pictures_at, v=1, w=0.07399881517537363, v*w=0.07399881517537363
f=taking_pictures, v=2, w=0.03341883800445024, v*w=0.06683767600890048
f=cows, v=1, w=0.05267272581901494, v*w=0.05267272581901494
f=bridal, v=1, w=0.05115904423229991, v*w=0.05115904423229991
f=is_taking, v=2, w=0.023891812098461196, v*w=0.04778362419692239
f=bride_is, v=1, w=0.01144998176079607, v*w=0.01144998176079607
f=a_barn, v=1, w=0.0018109739162854579, v*w=0.0018109739162854579
f=bride_wearing, v=1, w=0, v*w=0
f=her_bridal, v=1, w=0, v*w=0
f=bridal_gown, v=1, w=0, v*w=0
f=gown_is, v=1, w=0, v*w=0
f=her_colorful, v=1, w=0, v*w=0
f=colorful_wedding, v=1, w=0, v*w=0
f=wedding_bouquet, v=1, w=0, v*w=0
f=bouquet_in, v=1, w=0, v*w=0
f=of_cows, v=1, w=0, v*w=0
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=with_her, v=1, w=-0.014184229545346472, v*w=-0.014184229545346472
f=barn_., v=1, w=-0.06351370222985586, v*w=-0.06351370222985586
f=barn, v=1, w=-0.07570663632665438, v*w=-0.07570663632665438
f=gown, v=1, w=-0.08324341161898886, v*w=-0.08324341161898886
f=at_a, v=1, w=-0.08622086192337773, v*w=-0.08622086192337773
f=A_bride, v=2, w=-0.04749034240188685, v*w=-0.0949806848037737
f=wearing_her, v=1, w=-0.09512194403608759, v*w=-0.09512194403608759
f=pictures_with, v=1, w=-0.09684640818530094, v*w=-0.09684640818530094
f=at, v=1, w=-0.26136614004677544, v*w=-0.26136614004677544
f=front, v=1, w=-0.27291575349433383, v*w=-0.27291575349433383
f=wearing, v=1, w=-0.30951804432226004, v*w=-0.30951804432226004
f=with, v=1, w=-0.37578220266504436, v*w=-0.37578220266504436
f=of, v=1, w=-0.37790219820508486, v*w=-0.37790219820508486
f=taking, v=2, w=-0.196354707504025, v*w=-0.39270941500805
f=a, v=1, w=-0.40085934414878244, v*w=-0.40085934414878244
f=in, v=1, w=-0.4621736065762428, v*w=-0.4621736065762428
f=word_mismatch, v=12, w=-0.04797307969310231, v*w=-0.5756769563172277
f=pictures, v=2, w=-0.29141352168104456, v*w=-0.5828270433620891
f=A, v=2, w=-0.3083650202568235, v*w=-0.616730040513647
f=her, v=2, w=-0.4323918021272653, v*w=-0.8647836042545306
f=is, v=2, w=-0.45493996500424116, v*w=-0.9098799300084823
================================================================================
P: A man with a cowboy hat green plaid shirt , jeans , and red boots and chaps rides a bay horse next to a young boy with a cowboy hat and blue shirt , jeans and chaps rides a pony next to him .
H: People are riding horses and ponies outside .
label=1, predicted=1, correct
f=length_diff, v=36, w=0.2283268767017618, v*w=8.219767561263424
f=lexical_overlap, v=2, w=0.3830654707424352, v*w=0.7661309414848704
f=outside_., v=1, w=0.6659319901243318, v*w=0.6659319901243318
f=next_to, v=2, w=0.25548951210531956, v*w=0.5109790242106391
f=with_a, v=2, w=0.2523841160226351, v*w=0.5047682320452702
f=People, v=1, w=0.3602300901282249, v*w=0.3602300901282249
f=blue_shirt, v=1, w=0.34339841787692277, v*w=0.34339841787692277
f=A_man, v=1, w=0.324577417131331, v*w=0.324577417131331
f=riding_horses, v=1, w=0.2433380608610082, v*w=0.2433380608610082
f=jeans_,, v=1, w=0.23879370457378393, v*w=0.23879370457378393
f=a_young, v=1, w=0.23753019585168536, v*w=0.23753019585168536
